timestamp,flow_key,pkt_count,byte_count,duration_s,avg_pkt_size,avg_iat_ms,max_iat_ms
1776232265.0698223,"('172.20.211.225', '224.0.0.251', 5353, 5353, 17)",1,87,0.0,87.0,0.0,0
1776232265.0698223,"('172.20.211.225', '172.21.96.83', 58470, 7680, 6)",5,357,0.0,71.4,0.0,0.0
1776232265.0698223,"('172.21.96.83', '172.20.211.225', 7680, 58470, 6)",3,178,0.0,59.33,0.0,0.0
1776232265.0698223,"('172.20.211.225', '128.192.0.0', 51680, 53, 17)",1,89,0.0,89.0,0.0,0
1776232265.0698223,"('172.20.211.225', '128.192.0.0', 55997, 53, 17)",1,89,0.0,89.0,0.0,0
1776232265.0698223,"('172.20.211.225', '128.192.0.0', 51154, 53, 17)",1,74,0.0,74.0,0.0,0
1776232265.0698223,"('172.20.211.225', '128.192.0.0', 56917, 53, 17)",1,74,0.0,74.0,0.0,0
1776232265.0698223,"('172.20.211.225', '128.192.0.0', 57401, 53, 17)",1,94,0.0,94.0,0.0,0
1776232265.0698223,"('172.20.211.225', '128.192.0.0', 49725, 53, 17)",1,94,0.0,94.0,0.0,0
1776232265.0698223,"('172.20.211.225', '128.192.0.0', 60697, 53, 17)",1,79,0.0,79.0,0.0,0
1776232265.0698223,"('172.20.211.225', '128.192.0.0', 63820, 53, 17)",1,79,0.0,79.0,0.0,0
1776232265.0698223,"('128.192.0.0', '172.20.211.225', 53, 60697, 17)",1,129,0.0,129.0,0.0,0
1776232265.0698223,"('128.192.0.0', '172.20.211.225', 53, 63820, 17)",1,343,0.0,343.0,0.0,0
1776232265.0698223,"('128.192.0.0', '172.20.211.225', 53, 55997, 17)",1,363,0.0,363.0,0.0,0
1776232265.0698223,"('128.192.0.0', '172.20.211.225', 53, 51680, 17)",1,149,0.0,149.0,0.0,0
1776232265.0698223,"('128.192.0.0', '172.20.211.225', 53, 51154, 17)",1,347,0.0,347.0,0.0,0
1776232265.0698223,"('128.192.0.0', '172.20.211.225', 53, 56917, 17)",1,450,0.0,450.0,0.0,0
1776232265.0698223,"('128.192.0.0', '172.20.211.225', 53, 49725, 17)",1,532,0.0,532.0,0.0,0
1776232265.0698223,"('128.192.0.0', '172.20.211.225', 53, 57401, 17)",1,154,0.0,154.0,0.0,0
1776232265.0698223,"('172.20.211.225', '142.251.150.119', 62459, 443, 17)",12,7062,0.0581,588.5,5.28,55.46
1776232265.0698223,"('172.20.211.225', '64.233.177.95', 53720, 443, 6)",13,3557,0.0581,273.62,4.84,51.79
1776232265.0698223,"('172.20.211.225', '142.251.150.119', 52684, 443, 6)",7,2220,0.0575,317.14,9.59,53.84
1776232265.0698223,"('172.20.211.225', '142.250.9.94', 55017, 443, 6)",12,3021,0.0575,251.75,5.23,52.33
1776232265.0698223,"('172.20.211.225', '172.217.215.84', 59510, 443, 6)",7,2225,0.0548,317.86,9.13,52.33
1776232265.0698223,"('172.20.211.225', '172.217.215.84', 60150, 443, 6)",17,11815,0.0574,695.0,3.59,52.33
1776232265.0698223,"('142.250.9.94', '172.20.211.225', 443, 55017, 6)",12,6705,0.0568,558.75,5.17,53.67
1776232265.0698223,"('172.217.215.84', '172.20.211.225', 443, 60150, 6)",21,10766,0.0574,512.67,2.87,52.36
1776232265.0698223,"('142.251.150.119', '172.20.211.225', 443, 52684, 6)",8,5557,0.0568,694.62,8.12,53.67
1776232265.0698223,"('64.233.177.95', '172.20.211.225', 443, 53720, 6)",14,7116,0.0574,508.29,4.41,51.53
1776232265.0698223,"('172.217.215.84', '172.20.211.225', 443, 59510, 6)",7,5485,0.054,783.57,9.0,51.53
1776232265.0698223,"('142.251.150.119', '172.20.211.225', 443, 62459, 17)",10,10521,0.0574,1052.1,6.38,55.18
1776232265.0698223,"('172.20.211.225', '104.18.13.46', 60151, 80, 6)",4,228,0.0011,57.0,0.37,1.1
1776232265.0698223,"('104.18.13.46', '172.20.211.225', 80, 60151, 6)",2,126,0.0,63.0,0.0,0.0
1776232265.0698223,"('172.20.211.225', '172.217.215.84', 63817, 443, 17)",15,9772,0.001,651.47,0.07,1.02
1776232265.0698223,"('172.217.215.84', '172.20.211.225', 443, 63817, 17)",12,10247,0.0514,853.92,4.68,50.42
1776232265.0698223,"('172.20.211.225', '142.250.105.95', 55379, 443, 6)",1,55,0.0,55.0,0.0,0
1776232265.0698223,"('142.250.105.95', '172.20.211.225', 443, 55379, 6)",1,66,0.0,66.0,0.0,0
1776232265.0698223,"('172.20.211.225', '64.233.177.95', 56928, 443, 17)",10,6221,0.102,622.1,11.33,50.79
1776232265.0698223,"('64.233.177.95', '172.20.211.225', 443, 56928, 17)",10,8838,0.0518,883.8,5.76,50.79
1776232265.0698223,"('172.20.211.225', '64.233.177.95', 52256, 443, 6)",6,2676,0.0005,446.0,0.1,0.51
1776232265.0698223,"('64.233.177.95', '172.20.211.225', 443, 52256, 6)",6,2871,0.0,478.5,0.0,0.0
1776232265.0698223,"('172.20.211.225', '128.192.0.0', 54997, 53, 17)",1,92,0.0,92.0,0.0,0
1776232265.0698223,"('172.20.211.225', '128.192.0.0', 50658, 53, 17)",1,92,0.0,92.0,0.0,0
1776232265.0698223,"('128.192.0.0', '172.20.211.225', 53, 54997, 17)",1,152,0.0,152.0,0.0,0
1776232265.0698223,"('128.192.0.0', '172.20.211.225', 53, 50658, 17)",1,542,0.0,542.0,0.0,0
1776232265.0698223,"('172.20.211.225', '74.125.138.95', 61725, 443, 17)",11,5185,0.0514,471.36,5.14,50.9
1776232265.0698223,"('74.125.138.95', '172.20.211.225', 443, 61725, 17)",11,9391,0.052,853.73,5.2,50.9
1776232265.0698223,"('172.20.211.225', '142.250.105.95', 55378, 443, 6)",1,55,0.0,55.0,0.0,0
1776232265.0698223,"('142.250.105.95', '172.20.211.225', 443, 55378, 6)",1,66,0.0,66.0,0.0,0
1776232265.0698223,"('172.20.211.225', '142.251.150.119', 51711, 443, 17)",6,3003,0.0,500.5,0.0,0.0
1776232265.0698223,"('172.20.211.225', '128.192.0.0', 61558, 53, 17)",1,80,0.0,80.0,0.0,0
1776232265.0698223,"('172.20.211.225', '128.192.0.0', 49359, 53, 17)",1,80,0.0,80.0,0.0,0
1776232265.0698223,"('128.192.0.0', '172.20.211.225', 53, 61558, 17)",1,140,0.0,140.0,0.0,0
1776232265.0698223,"('142.251.150.119', '172.20.211.225', 443, 51711, 17)",7,4638,0.0511,662.57,8.52,51.13
1776232265.0698223,"('128.192.0.0', '172.20.211.225', 53, 49359, 17)",1,354,0.0,354.0,0.0,0
1776232265.0698223,"('172.20.211.225', '74.125.138.95', 52935, 443, 17)",8,4339,0.0007,542.38,0.09,0.66
1776232265.0698223,"('74.125.138.95', '172.20.211.225', 443, 52935, 17)",7,7727,0.0511,1103.86,8.52,50.47
1776232265.0698223,"('172.20.211.225', '128.192.0.0', 57844, 53, 17)",1,77,0.0,77.0,0.0,0
1776232265.0698223,"('172.20.211.225', '128.192.0.0', 51106, 53, 17)",1,77,0.0,77.0,0.0,0
1776232265.0698223,"('172.20.211.225', '128.192.0.0', 57682, 53, 17)",1,75,0.0,75.0,0.0,0
1776232265.0698223,"('172.20.211.225', '128.192.0.0', 55101, 53, 17)",1,75,0.0,75.0,0.0,0
1776232265.0698223,"('128.192.0.0', '172.20.211.225', 53, 57844, 17)",1,360,0.0,360.0,0.0,0
1776232265.0698223,"('128.192.0.0', '172.20.211.225', 53, 51106, 17)",1,351,0.0,351.0,0.0,0
1776232265.0698223,"('128.192.0.0', '172.20.211.225', 53, 57682, 17)",1,229,0.0,229.0,0.0,0
1776232265.0698223,"('128.192.0.0', '172.20.211.225', 53, 55101, 17)",1,543,0.0,543.0,0.0,0
1776232265.0698223,"('172.20.211.225', '172.217.215.94', 64251, 443, 17)",8,4340,0.0,542.5,0.0,0.0
1776232265.0698223,"('172.20.211.225', '162.247.243.29', 58873, 443, 6)",7,2980,0.0514,425.71,8.56,51.36
1776232265.0698223,"('172.217.215.94', '172.20.211.225', 443, 64251, 17)",7,7698,0.0,1099.71,0.0,0.0
1776232265.0698223,"('162.247.243.29', '172.20.211.225', 443, 58873, 6)",8,6586,0.0514,823.25,7.34,51.36
1776232265.0698223,"('172.20.211.225', '128.192.0.0', 56983, 53, 17)",1,81,0.0,81.0,0.0,0
1776232265.0698223,"('128.192.0.0', '172.20.211.225', 53, 56983, 17)",1,392,0.0,392.0,0.0,0
1776232265.0698223,"('172.20.211.225', '99.84.132.124', 58874, 443, 6)",5,1287,0.0,257.4,0.0,0.0
1776232265.0698223,"('99.84.132.124', '172.20.211.225', 443, 58874, 6)",6,1268,0.0,211.33,0.0,0.0
1776232265.0698223,"('172.20.211.225', '239.255.255.250', 61035, 1900, 17)",1,167,0.0,167.0,0.0,0
